question,answer
"월 중에 서비스를 시작한 경우, 월 요금은 일할 계산되나요?","네, 요금제 및 통화 정액 등의 옵션 서비스 월 요금은 일할 계산됩니다."
"월 중에 해지한 경우, 요금은 일할 계산되나요?","월 중 해지에 대해서는 일할 계산이 이루어지지 않습니다. 단, 「반입 단말기 보증 supported by AppleCare Services」 및 「반입 단말기 보증」은 일할 계산됩니다."
미성년자도 계약이 가능한가요?,만 18세 이상이라면 계약이 가능합니다.
본인 확인 서류 업로드가 되지 않습니다. 어떻게 해야 하나요?,사용 중인 브라우저가 권장 브라우저가 아닐 수 있습니다. 사용 환경을 다시 확인해 주세요.
기기 변경(기종 변경)을 하려면 어떻게 해야 하나요?,베어모바일Lite에서는 기기 변경용 휴대전화를 판매하지 않습니다. 고객님께서 직접 SIM 프리 단말기를 준비해 주세요.
매월 청구 마감일과 납부 기한은 언제인가요?,"청구 마감일은 매월 말일이며, 납부 기한은 다음 달 26일(납부일이 공휴일인 경우는 다음 영업일)입니다. 신용카드로 결제하는 경우, 카드사 규정에 따른 출금일이 적용됩니다."
법인 명의로 계약할 수 있나요?,법인 고객의 신청은 접수하지 않습니다.
해외에서의 신청이나 해외 배송은 가능한가요?,해당 서비스는 제공되지 않습니다.
해외에서 휴대전화 해지 절차를 진행할 수 있나요?,"국제 로밍이 가능한 휴대전화를 사용하는 경우, 안내 페이지에서 절차를 진행할 수 있습니다. 국제 로밍이 불가능한 경우, 출국 전에 해지 절차를 완료해 주세요."
현재 가입 중인 할인이나 캠페인을 확인하는 방법을 알려주세요.,마이페이지에서 확인할 수 있습니다.
"신청을 취소하고 싶은 경우, 어떻게 해야 하나요?","일부 조건 하에서 취소가 가능합니다. 단, 신청자 본인이 아닌 경우에는 취소 요청을 접수할 수 없습니다."
신청 중에 오류가 발생해 진행할 수 없게 되었습니다. 어떻게 해야 하나요?,사용 중인 브라우저가 권장 브라우저가 아닐 수 있습니다. 이용 환경을 다시 확인해 주세요.
신청 후 언제부터 서비스를 이용할 수 있나요?,계약하는 SIM 종류에 따라 이용 시작일이 다릅니다.
"신청 시 잘못된 정보를 입력한 경우, 어떻게 해야 하나요?","계약이 완료되기 전이라면 신청을 취소할 수 있습니다. 취소는 당사 웹사이트에서 접수 가능합니다. 계약이 완료되면 완료 안내 메일이 발송되며, 해당 메일 수신 이후에는 취소가 불가능합니다."
긴급 재난 문자 수신 설정/변경 방법을 알려주세요.,긴급 재난 문자 수신 설정은 사용하는 기기 종류에 따라 다릅니다.
내가 가지고 있는 휴대전화도 사용할 수 있나요?,동작 확인이 완료된 휴대전화라면 이용할 수 있습니다.
자택 이외의 주소로 배송이나 전송이 가능한가요?,"본인 확인 서류에 기재된 주소 외에는 배송이나 전송, 택배함 배송은 불가능합니다."
해지 후 마이페이지에 로그인할 수 없게 되었습니다. 어떻게 해야 하나요?,"해지나 타사로 번호 이동(MNP 전출), 또는 베어모바일로의 이동 후에는 해지일 이후부터는 베어모바일 ID로 로그인해야 합니다."
해지 후 청구 금액 확인 방법을 알려주세요.,해지 후 90일 이내의 고객은 마이페이지에서 청구 금액 상세를 확인할 수 있습니다. 해지 후 91일이 지난 고객은 마이페이지에서 청구서/내역 명세서를 다운로드할 수 있습니다.
해지 시 SIM 카드를 반납해야 하나요?,해지 시 SIM 카드 반납은 필요하지 않습니다. 고객님께서 직접 폐기해 주세요.
해지 시 계약 해지금이 발생하나요?,해지 시 계약 위약금은 발생하지 않습니다.
인증 코드를 입력하기 전에 「인증 코드 입력」 화면을 닫아버렸는데 어떻게 해야 하나요? [베어모바일Lite eSIM 간단 설정 앱],「이메일로 받기」 또는 「자동 음성 통화로 받기」를 다시 탭하면 인증 코드 입력 화면으로 돌아갈 수 있습니다.
인증 코드를 잘못 입력했는데 어떻게 해야 하나요? [베어모바일Lite eSIM 간단 설정 앱],정확한 인증 코드를 다시 입력할 수 있습니다. 「이메일로 받기」 또는 「자동 음성 통화로 받기」를 다시 탭해서 인증 코드를 받아 주세요.
청구서가 도착했습니다. 「BearPay」로 결제할 수 있나요?,「BearPay 청구서 결제」를 이용하실 수 있습니다. 결제는 BearPay 머니를 사용할 수 있습니다.
스팸 메일이 도착할 경우의 대처 방법을 알려주세요.,마이페이지에 로그인 후 「스팸 메일 대책」에서 설정이 가능합니다.
스팸 메일 설정 변경 방법을 알려주세요. [이메일 주소 이전],베어모바일 메일(@bearmobile.ne.jp)에서는 스팸 메일 설정 변경이 가능합니다. 그 외의 이메일 주소는 설정 변경이 불가능합니다.
통신이 「3G」로 표시되는 이유는 무엇인가요?,iPhone/iPad의 통신 설정이 제대로 되어 있지 않을 가능성이 있습니다. 설정을 다시 확인해 주세요.
통신 속도가 느려졌을 때의 대처 방법을 알려주세요.,"데이터 통신량이 상한에 도달해 속도 제한이 걸린 경우, 마이페이지에서 추가 데이터를 구매하면 원래 속도로 복구할 수 있습니다."
통신 속도 제한 알림 메일 설정 방법을 알려주세요.,"초기 설정에서는 SMS로 알림 받기로 되어 있습니다. 알림 여부나 수신처 변경 및 추가를 원하시는 경우, 마이페이지에서 설정을 변경할 수 있습니다."
통상 속도로 되돌리는 설정을 「오토차지 ON(쾌적 모드)」 또는 「오토차지 OFF(제한 모드)」로 변경하려면 어떻게 해야 하나요?,해당 설정은 마이페이지에서 변경할 수 있습니다.
통화가 되지 않고(서비스 지역외로 표시됨) 있을 경우 어떻게 해야 하나요?,자주 묻는 질문 페이지 등에서 대처 방법을 확인해 주세요.
통화가 끊어지는 경우에는 어떻게 해야 하나요?,"전원을 껐다가 다시 켜거나, SIM 카드를 다시 삽입해 보세요."
"통화 또는 착신이 되지 않는 경우, 어떤 원인이 있을 수 있나요?",요금 미납이나 설정에 의한 정지 등이 원인일 수 있습니다. 구체적인 해결 방법은 원인에 따라 다릅니다.
통화 요금에 대해 자세히 알려주세요. [레귤러 플랜 / 스몰 플랜],"「레귤러 플랜」과 「스몰 플랜」에서는 국내 통화에 30초당 220원의 요금이 부과됩니다. 월 50000원의 「통화 정액 옵션」을 선택하면 국내 통화가 무제한으로 이용 가능합니다. 단, 일부 통화는 무료 대상에서 제외됩니다."
통화 내역서를 서면으로 확인할 수 있나요?,"마이페이지에서 PDF 파일로 출력하거나, 우편으로 요청하여 확인할 수 있습니다. 우편 요청 시에는 월별 2200원(세금 포함)의 수수료와 1000원(세금 포함)의 우편료가 부과됩니다."
전파 상태가 양호함에도 「연결되지 않았습니다」라고 표시되는 경우 어떻게 해야 하나요? [베어모바일Lite eSIM 간단 설정 앱],일시적인 문제일 수 있습니다. 기기를 한 번 재시작해 보세요.
[eSIM] APN 설정(모바일 네트워크 설정)을 했음에도 불구하고 통신이 되지 않는 경우?,eSIM 프로파일 다운로드나 APN 설정이 제대로 이루어지지 않았을 가능성이 있습니다.
"[iPhone/iPad]에서 「서비스권외」 또는 「검색 중」으로 표시되어 접속이 되지 않는 경우, 어떻게 해야 하나요?",일시적인 문제로 인해 「서비스권외」나 「검색 중」으로 표시될 수 있습니다.
[iPhone/iPad]에서 인터넷이 연결되지 않는 경우 어떻게 해야 하나요?,"설정을 변경하거나, 단말기를 재시작하거나, SIM 카드를 다시 삽입해 보세요."
"[iPhone]에서 eSIM 프로파일을 다운로드할 때 오류가 발생한 경우, 어떻게 해야 하나요?",오류 메시지가 표시된 화면에 따라 대응 방법이 달라집니다.
